Sentimen,Text,full_text
positif,kampus mengajar membuat aku jatuh hati selain bisa mengabdi di masyarakat bertemu dengan banyak teman dari seluruh kampus lain dengan beragam jurusan  rizka agustina mahasiswa fakultas kehutanan dan lingkungan program merdeka belajar kampus merdeka mbkm kampus mengajar ,kampus ajar jatuh hati abdi masyarakat temu teman kampus agam jurus rizka agustina mahasiswa fakultas hutan lingkung program merdeka ajar kampus merdeka mbkm kampus ajar
positif,magang di bank dpt gaji 12bln dr bank nya lumayan  gaji dr kampus merdeka,magang bank gaji bank nya lumayan gaji kampus merdeka
positif,mau ikut share juga walau bukan magang merdeka tp pmm program kampus merdeka bener2 lifechanging bgt huhu makasi kesempatannya ,share magang merdeka pmm program kampus merdeka bener bener lifechanging banget huhu makas sempat
positif,pengen semester 6 ada magang dri kampus mau daftar magang merdeka ini moga diterima,semester magang kampus daftar magang merdeka moga terima
positif,pengen bgt magang kampus merdeka,banget magang kampus merdeka
positif,nanti pengen kampus merdeka deh  ,kampus merdeka deh
positif,gausah banyak kegiatan kek kampus merdeka confrence seminar pelatihan workshop yg juaaaaaaauh lebih benefit,gausah giat kampus merdeka confrence seminar latih workshop juaauh benefit
positif,program merdeka belajar kampus merdeka mbkm memberikan pengalaman belajar di luar negeri  ,program merdeka ajar kampus merdeka mbkm alam ajar negeri
positif,kalo masih kuliah kenapa ga nyoba2 magang di kampus merdeka,kuliah magang kampus merdeka
positif,ini target mau mbkm aja,target mbkm
positif,aku langsung ke kaprodi karena beliau dosen yg suka woroworo ttg mbkm,langsung kah kaprodi beliau dosen suka woroworo mbkm
positif,bismillah ya moga bisa ikut  mbkm dan magang di sby,bismillah iya moga mbkm magang sby
positif,santai tapi kepikiran konversi mbkm sama skripsi,santai pikir konversi mbkm skripsi
positif,manifesting smester 7 mbkm dapet dosbing skripsi yang enak 2023 sempro,manifesting smester mbkm dosbing skripsi enak sempro
positif,gapapa nder each person have their own way ikut mbkm dah bagus itu klo mau menuhin linkedin banyak caranya bisa ikut course online atau remote atau parttime atau klo mau santai dulu ya gapapa sambil bikin plan mau yang difokusin semangatttt,tidak apa nder each person have their own way mbkm bagus menuhin linkedin course online remote parttime santai iya tidak apa bikin plan difokusin semangatt
positif,justsitnobserve nestle buka mbkm coba ae coy,justsitnobserve nestle buka mbkm coba ae coy
positif,apply sebanyak banyaknya sesuai jurusan kamu nanti suka cek berkala ke email sama akun mbkm nya kalo rezekinya pasti lolos jangan lupa siapin cv sertie sama surat rekomendasi dari kampus,apply banyak sesuai jurus suka cek kala kah email akun mbkm nya rezeki lolos lupa siapin cv sertie surat rekomendasi kampus
positif,manifesting diterima magang mbkm di semester 5 2023,manifesting terima magang mbkm semester
positif,ikut yang mbkm aja lumayan,mbkm lumayan
positif,kemarin gaji mbkm baru turun jd langsung traktir keluarga mam bubur kwang tung enak banget,kemarin gaji mbkm turun langsung traktir keluarga makan bubur kwang tung enak banget
positif,setinggi ekspektasi terhadap program mbkm,ekspektasi program mbkm
positif,itu dulu nder sekarang udah berubah sejak ada mbkm apalagi lulusan bangkit ngeboost cv banget,nder ubah mbkm lulus bangkit ngeboost cv banget
positif,mbkm si soalnya kek magang gtu,mbkm si magang gtu
positif,contohnya ini disaat kita bingung gimana mbkm ketua angkatan ku berinsiatif membuat ini padahal mungkin untuk urusan begini harusnya kita bersaing tp di angkatan aing ketuanya tidak membiarkan satupun orangpun tertinggal dibelakang ,contoh saat bingung mbkm ketua angkat ku berinsiatif urus saing angkat ketua biar satu orang tinggal belakang
positif,harusnya gw mbkm aja annjir,mbkm annjir
positif,bisa magang mbkm di jakarta,magang mbkm jakarta
positif,upi angkatan 20 ini wajib ikut mbkm 2 kali,upi angkat wajib mbkm kali
positif,lolos mbkm kmi who,lolos mbkm kmi world health organization
positif,tahun dpn si semoga keterima mbkm atau kkp di tmpt yag bags,dpn si moga terima mbkm kkp yag bags
positif,kampus ku ada kalo ikut program mbkm ga ikut kkn alias dikonversi nder,kampus ku program mbkm kkn alias konversi nder
positif,gapernah tau kl move on bisa segampang dan secepet ini ada untungnya jg kuliah smt 6 di kampus tanpa mbkm dsb,gapernah move on gampang secepet untung kuliah smt kampus mbkm dan bagai
positif,mbkm iya kkn iya doakan aku ya nder ,mbkm iya kkn iya doa iya nder
positif,aku jga beli iphone xr dari uang magang mbkm meskipun aku penerima kip itupun uang magangnya dipotong uang kip,beli iphone xr uang magang mbkm terima kip itu uang magang potong uang kip
positif,hi student ai mastery mimin kasih tau nih salah satu project terbaru dari student ai mastery yang dibuat oleh student mbkm batch 4 yaitu fayza aprilliza yang bisa jadi inspirasi kalian,hai student ai mastery mimin kasih salah project baru student ai mastery student mbkm batch fayza aprilliza inspirasi
positif,senang bangga dan puas dengan program mbkm ini bertemakan pengabdian masyarakat saya bisa lebih mengenal kondisi masyarakat desa kondisi pertanian dan kondisi perekonomian masyarakat desa  zidan fr mahasiswa sekolah vokasi program mbkm one village one ceo ovoc ,senang bangga puas program mbkm tema abdi masyarakat kenal kondisi masyarakat desa kondisi tani kondisi ekonomi masyarakat desa zidan fr mahasiswa sekolah vokasi program mbkm one village one ceo ovoc
positif,ga takut gueh sm perubahan krna smt 6 ini ws all in gae mbkm percobaan,takut gueh ubah krna smt ws all in gae mbkm coba
positif,pernah ikut mbkm di tambang masyaallah manusianya pada pinter2 banget public speakingnya leadershipnya teamworknya pokoknya keren2 dah jadi minder dan agak takut kerja di tambang hahahaha,mbkm tambang masyaallah manusia pintar banget public speakingnya leadershipnya teamworknya pokok minder takut kerja tambang hahahaha
positif,bukan penipuan kok nder itu aku dulu sering bgt suruh ngisi survey ttg mbkm soalnya sering ikut programnya juga wkwkwkwk,tipu nder banget suruh isi survey mbkm program wkwkwkwk
positif,trnyata klitih menerapkan kurikulum mbkm juga,trnyata klitih terap kurikulum mbkm
positif,manifesting dapet magang mbkm semester 5,manifesting magang mbkm semester
positif,sidang magang ni kaya pas akhiran mbkm ga ya mksdnya slama km menguasai sm ngerti jobdesk hrsnya aman aja,sidang magang kaya pas akhir mbkm iya mksdnya kuasa erti jobdesk hrsnya aman
positif,jangan lupa ikut mbkm ben tambah gendeng,lupa mbkm ben gendeng
positif,sekarang ada banyak kok mbak program semacam itu kalo di mbkm ada program kampus mengajar di luar itu ada lebih banyak lagi ,mbak program mbkm program kampus ajar
positif,jujur yah abis ikut sosialisasi kkn tadi siang tiba2 mbkm dan msbi terlihat sangat menggiurkan tapi pendaftarannya dah ditutup duaduanya,jujur yah habis sosialisasi kkn siang mbkm msbi giur daftar tutup duaduanya
positif,manifesting lolos seleksi mbkm sampe akhir,manifesting lolos seleksi mbkm
positif,tidur dikursi alhamdulillah lah kalo gitu mbkm tuh emg harus banyak sabar,tidur kursi alhamdulillah mbkm sabar
positif,selain kepanitiaan bisa banyak lg sertif sertif dan mbkm juga bisa ikut kewirausahaan tu kmren aku lumayan bgt,panitia sertif sertif mbkm kewirausahaan kmren lumayan banget
positif,bisa jadi bahan uji coba kampus buat diriin lsp dan  ikut mbkm kewirausahaan walaupun masuk swasta tapi bersyukur banget bisa dikasih kesempatan seberharga itu,bahan uji coba kampus diriin lsp mbkm kewirausahaan masuk swasta syukur banget kasih sempat harga
positif,mbkm coba nder cukup membantu,mbkm coba nder bantu
positif,rezeki yg masyaallah bgt dpt tempat kerja praktek super lancar dpt kesempatan ikut kampus merdeka mbkm di dinas perumahan  tentunya ttp masih kuliah karna gasemuanya di konversi jadi magang 2x di semester 6 masih kuat kerja parttime barista  masi ngejalanin di organisasi  ,rezeki masyaallah banget kerja praktek super lancar sempat kampus merdeka mbkm dinas rumah kuliah gasemuanya konversi magang semester kuat kerja parttime barista mas ngejalanin organisasi
positif,ikut mbkm aja auto a tapi ttp harus ngumpulin produk sih,mbkm auto ngumpulin produk sih
