Sentimen;Text
Positif;collegemenfess Aku ada nder kupu kupu tp alhamdullilah lolos terus beasiswa dan mbkm kalau mau liat dm aja gk ikut samsek organisasi di kampus
Positif;collegemenfess Aku baru ngelewatin 5 bulan lalu aku sama sekali ga begadang bimbingan rutin tiap minggu aku kuali penelitian bolak balik ke lokasi dan aku cuma ambil sks skripsi dan 1 matkul tapi ini uda konversi sks kampus merdeka dan ga kerja si
Negatif;collegemenfess Aku ikut kampus merdeka 2 kali semester 5 sama semester 6 Tapi di pddikti semester 7 sama 6
Negatif;collegemenfess aku ikut kampus merdeka tapi malah ditulisnya aktif
Negatif;collegemenfess Aku juga bingung nder mau ikut kampus merdeka tapi tu konversi sksnya yang takut gak sesuai Dan kebanyakan dosen di univ ku masih ngeremehin program ini
Positif;"collegemenfess Aku jugaa Kalo bukan karena kampus merdeka gatau kapan aku naik pesawat ya wkwk Tapi ini aku ikut yg PMM hehe "
Negatif;collegemenfess Aku kaa tapi bukan magang kampus merdeka gapapakah Magang pribadi soalnya hehe
Negatif;collegemenfess Aku kebalikannya semester 6 sampe 8 yg ikut kegiatan MBKM tapi yg ditulis malah dan cuma smstr 9  
Negatif;collegemenfess Aku malah kebalikannya ikut kampus merdeka smt 5 statusnya cuma aktif wkwkwk Tapi temen aku ikut kampus merdeka smt 3 ya statusnya kampus merdeka
Negatif;collegemenfess Aku malah kebalikannya Pernah ikut kampus merdeka tapi di pddikti ga tercantum 
Negatif;collegemenfess aku malah sebaliknya ini padahal semester 6 kemaren aku ikut kampus merdeka  
Positif;collegemenfess Aku msih smt 6 tpi bantu jelasin ya nder worth it engganya itu tergantung kmu Klo kmu pengen ambil skripsi smt 7 mending gausah ambil msib karna klo udh ngeprogram kampus merdeka kita gabisa ambil skripsi Tpi klo kmu ga buru2 pengen ambil skripsi silahlan msib
Positif;collegemenfess aku nderr kupu tapi punya pengalaman mbkm sama volunteer
Negatif;collegemenfess Aku pas ikut mbkm sebulan sih tpi itu aku daftar banyak bgt diluar itu juga ada 2030an ada kali
Negatif;collegemenfess aku pas mbkm batch 3 ikut stupen ttp dapet kaya biasa nder kurang tau tapi kalo batch yg skrng
Positif;collegemenfess Aku sem 7 ikut mbkm dan sangat worth it Klo semsster 8 masih boleh ikut mau lg tp sayangnya udh gabisa wkw
Negatif;collegemenfess aku smt 5 pdhl ikut MBKM tp dsni gaada 
Positif;collegemenfess Aku WA dosen PA cuma kalo mau minta ttd2 sama kalo ada masalah sama nilai konversi kampus merdeka wkwk Dulu dia rajin share info zaman aku maba sekarang sudah ngga tapi alhamdulillah nya gak susah ditemui setiap anak bimbingan nya butuh 
Positif;collegemenfess alhamdulillah kampus merdeka
Positif;collegemenfess Apply sebanyak banyaknya sesuai jurusan kamu nanti suka cek berkala ke email sama akun mbkm nya Kalo rezekinya pasti lolos jangan lupa siapin CV sertie sama surat rekomendasi dari kampus
Negatif;collegemenfess barusan cek punyaku malah statusnya aktif semua padahal smt 5 sempat ikut kampus merdeka
Positif;"collegemenfess Beda nder kalo msib itu kan magang dan studi independent Programnya jg punya kolom sendiri kan di kampus merdeka Setauku ya hehehe"
Positif;collegemenfess Bedanya msib sama mbkm tuh apaa ya
Positif;collegemenfess beneran gaikut samsek kah soalnya aku cuma ikut KMMI 3 sks juga keitung kampus merdeka btw programnya kan banyak ya siapa tau pernah jg
Positif;collegemenfess bisa jadi bahan uji coba kampus buat diriin LSP dan  ikut MBKM Kewirausahaan walaupun masuk swasta tapi bersyukur banget bisa dikasih kesempatan seberharga itu
Positif;collegemenfess Bukan penipuan kok nder itu aku dulu sering bgt suruh ngisi survey ttg mbkm soalnya sering ikut programnya juga wkwkwkwk
Positif;collegemenfess cari lab yang spesifiknya di bidang aku terus email ke mereka tp kalau case lain biasanya jinguk ke portal mbkm sih
Positif;collegemenfess Cv nya ats terus kalo ada pengalaman organisasi daftar si atau mbkm nya yang relevan sm pengalaman yang didapet dan kalo bisa sesuai jg sm jurusannya
Positif;collegemenfess di kampus aku kalo ikut program magang merdeka sks nya bakal di konversi
Positif;collegemenfess di kampus kalian mbkm maksimal berapa semester berapa semester ya bukan semester berapa 
Positif;collegemenfess di semester 7 tinggal berapa SKS nya nder asal blm lulus ga masalah sih enak di kejar di smst 56 nder kalo mbkm
Positif;collegemenfess Dulu ikut program kampus merdeka aku dpt 20 sks nder klo mau tanya dm aja
Positif;collegemenfess dulu kampus ak ga ngadain semenjak kampus merdeka jd ada
Negatif;collegemenfess Enggak kalau ikutan program itu untuk semester tua tidak direkomendasikan ya nder karena program kampus merdeka itu berat polll Seharusnya ikutan program itu di sem 36 kalau sem 7 mending fokus ke nyari referensi untuk skripsi nder
Negatif;collegemenfess Eranya sudah beda MBKM banyak banget pilihan bahkan ga ikut organisasi pun bisa sibuk tar giliran ikut organisasi giliran kating ambil MBKM juga jadi kosong sekrenya karena sebagian besar join magang riset dll event event dikerjain yang baru masuk semua
Positif;collegemenfess Fakultas ku ndk ada Cuma ppl doang MBKM dan dibayar
Positif;collegemenfess gak nyobain magang merdeka kampus mengajar sama iisma nyesel abiisssss dulu jaman ku kuliah masih perkenalan kampus merdeka jd bener2 infonya gajelas skrg udh mulai di aplikasiin dan banyak testi plis benefit nya gila bgt sii pgn bgt experience nya 
Negatif;collegemenfess Gak tauu gak jelas tiba tiba di suruh ikut mbkm pertukaran terus suruh magang Mana angkatan covid yang sem 1 sampe 4 daring Kelas cuma 1 biji belum pernah full belajar bareng bareng sampe mau sem 7 ini
Positif;collegemenfess gausah banyak kegiatan kek kampus merdeka confrence seminar pelatihan workshop yg juaaaaaaauh lebih benefit
Negatif;collegemenfess Gua juga gitu njirr semester 6 ditulis ikut mbkm dan pas gua cek lagi jumlah sks gua yg semester 6 ga sesuai sama yg gua ambil dan matkul2 yg di website itu banyak yg gaada dijurusan gua wkwk
Positif;collegemenfess Gue convert kegiatan pengurus organisasi di kampus jadinya Kampus Merdeka di PDDIKTI der Kalo lu ikut ormawa juga coba tanya ketuanya masukin nama gak buat kegiatan MBKM karena kadang ada ketua yg langsung request serentak anggota dimasukin buat nambah nilai
Positif;"collegemenfess Hai nder aku izin menjawab ya tanyakan ke pihak kampus nder Biasanya disetiap kampus ada PIC yang mengurusi MBKM "
Positif;collegemenfess Ikum mbkm SMA fokus skripsi sig
Negatif;collegemenfess ikut kampus merdeka batch 3 dari lebih 10k yg daftar cmn keterima 50an orang wkwk
Positif;collegemenfess Ikut kampus merdeka biar gak ikut kkn
Positif;collegemenfess ikut kampus merdeka saja
Positif;collegemenfess ikut magang kampus merdeka aja nder inka mitra msib setahuku
Positif;collegemenfess Ikut magang MBKM gih nderrr kyaknya msh buka
Positif;collegemenfess Ikut magang nder lumayan biat nambah pengalaman juga Aku magang dari semester 5 awal2 ikut unpaid mbkm sampe akhirnya smt akhir sekarang juga magang mandiri lagi
Positif;collegemenfess ikut mbkm di semestee 7 gamasalah sih masalahnya bisa gak ketika lo sibuk proposal di sem itu dan fokus ke mbkm kalau bisa gas nder
Positif;collegemenfess Ikut mbkm yang bisa dapet uang saku magang jadi guru les jualan makanan part time di resto atau cafe jadi ojek online mahasiswa join gojek atau grab dll
Positif;collegemenfess intinya program mbkm tuh berkasnya harus sesuai salah dikit aja gugur ntar kalau msib jangan lupa bikin CV formatnya ATS Friendly
Negatif;collegemenfess itu liatnya bukan di web kampus merdeka
Positif;collegemenfess jadi intinya ada kebijakan yang mewajibkan mahasiswa untuk ikut mbkm minimal 1 kali
Positif;collegemenfess jualan online ikut mbkm jadi asisten dosenjurusan
Negatif;collegemenfess Kalau sekarang gatau ya nder Tapi tempatku magang tuh full wfh tapi buat yg dari kampus merdeka diwajibkan wfo
Positif;collegemenfess kalo aku nay hehehe lebih saranin ikut program kampus merdeka
Positif;collegemenfess Kalo aku sihh sewruu bgttt yaa nderrr soalnya w ambil magang mbkm wkwkwk alias w mo kaburrrr dari derita semester 5 
Positif;collegemenfess Kalo daftar semua bisa nder tapi kalo nanti lulus harus milih satu kegiatan ajaa kalo mau cari info mbkm masuk grup telenya aja nder
Negatif;collegemenfess kalo seumpama masih semt 5 6 menurutku masih worth it kalo 7 engga soalnya kalo di fakultasku smt 7 dah disuruh nyicil skripsi dan kalo bisa dah sampe sidang kalo seumpama smt 7 masih mbkm dan baru nyicil skripsi di smt 8takutnya nanti malah nambah semester
Positif;collegemenfess Kampus ku ada kalo ikut program MBKM ga ikut KKN alias dikonversi nder
Positif;collegemenfess kampusku ada kkn tapi ga wajib krna program mbkm trus kkn nya itu kl ga salah cmn ngajar 1 minggu 1x jd ga nginep
Positif;collegemenfess karena pas SMA aku gagal exchange ke US jd pengen kuliah biar bisa ikut exchange awalnya bcs aku suka banget explore tempat dan culture baru Percaya deh mahasiswa angkatan sekarang lebih banyak aksesnya buat ngembangin diri kampus merdeka MSIB dll
Negatif;collegemenfess Ke Hoki an sih wkwk  aq ketrima mbkm di United Tractors tapi gajadi tak ambil
Positif;collegemenfess kegiatan MBKM gimana kayak kampus mengajar studi independen
Positif;collegemenfess kkn masuk ke mbkm
Positif;collegemenfess Kl uangnya gede ikut mbkm tp ya agak mumet tp kl mau yg santai sambil jualan makanan online
Positif;"collegemenfess klo aku krn emg udh program wajib dr fakultas dan tempatny jg dicariin cuman biasanya dosen ku suka share2 info magang kyk kampus merdeka dll ada jg akun official dr kampus yg suka share2 info magang gt nder"
Positif;collegemenfess Kurikulum kampus merdeka maybe
Negatif;collegemenfess lagi sibuk uas pas ikut program mbkm nenek meninggal orang tua hampir cerai ditinggalin pacar sampe sekarang masih ngerangkak buat jalan
Negatif;collegemenfess lah dijadiin data palsu terus intensif dari mbkmnya masuk ke mana kan setiap ikut mbkm pasti dikasih uang perbulan 12jt sama ukt 24jt itu uangnya kemana kalo gitu
Negatif;collegemenfess lah iya aku 3 semester ditulis kampus merdeka padahal pernah ikut 1 semester doang 
Negatif;collegemenfess Lebih ke intern sih Gue ga ambil intern apalagi magang merdeka karna emang ngincer yang 4 tahun Sistem di kampus gue juga agak ribet Terus buat lomba lomba juga susah karena gaada yg emang passion gue banget Sedangkan intern di merdeka tuh gak ada skill yang emang gue sasar
Positif;collegemenfess Maaf oot aku pengen ikut Magang Bersertifikat dari MBKM bantu rekomendasi untuk anak pendidikan dong
Positif;collegemenfess magang di bank dpt gaji 12bln dr bank nya lumayan  gaji dr kampus merdeka
Positif;collegemenfess Magang MBKM sih tpi hehe
Negatif;collegemenfess malah kebalikan nder aku smt 6 ikut kampus merdeka tapi ditulis aktif gtu aja
Positif;collegemenfess Mbkm ajaa
Positif;collegemenfess mbkm laah 
Negatif;collegemenfess mending buat aku aja nder statusnya aku udah ikut mbkm tapi kagaa ada status di situnya sjdhshegajshjs aneh bgt prodi aku
Positif;collegemenfess Mf agak oot kalian ada gak yang ikut rpogram MBKM tapi pas udh smt 8 ini
Negatif;collegemenfess mjb emg boleh ya ikut lagi gitu soalnya kalo di MBKM ga boleh
Positif;collegemenfess Nay Gatau kalo di kampus lain tapi di kampusku organisasi udah sepi peminat kecuali ukm Mendingan ikut kampus merdeka dan banyakin ikut lomba yang sesuai jurusanmu nder
Positif;collegemenfess nay sem 5 saatnya mulai cari info maganginternship ato ikut mbkm nya
Positif;collegemenfess Nay wkwkwkwk mending komunitas atau ga kegiatan kampus merdeka aja deh
Negatif;collegemenfess Nderr klo memurutku udh fokus ke TA aja 2 nilai c masih gapapa klo menurutku Sayang bgt klo gbisa ambil TA buat ambil kampus merdeka Tapi klo kamu mau memperbaiki nilai c juga terserah kmu tapi menurutku buang2 waktu hadapi apa yg ada aja
Negatif;collegemenfess ngga nder tugasnya full project uasnya bikin artikel sempro mikirin mbkm semester 7 kerja belum lagi pas awal udah terlanjur nyemplung organisasi banyak proker semester yang paling kutangisin sih ini pokoknya
Negatif;collegemenfess Padahal terakhir cek SMT 6 sampe 7 nggak ada ikut MBKM eh barusan cek ternyata 
Positif;collegemenfess Pengen bgt magang kampus merdeka
Positif;collegemenfess Pengen semester 6 ada magang dri kampus mau daftar magang merdeka ini moga diterima
Negatif;collegemenfess Pengen tapi jatah kampus merdekaku dah abis anjrittt Apa gabisa ya intern eksternal tanpa melalui mbkm
Negatif;collegemenfess PI group Tapi harus lewat magenta atau kampus merdeka ya Selain itu gabisa
Positif;collegemenfess pmm itu pertukaran mahasiswa merdeka program dari kampus merdeka semua bisa ikut ga harus yg dapet beasiswa aja nder
Negatif;collegemenfess prodimu melaporkan km ikut MBKM Nder kalo ga salah setiap tahun ada target berapa persen mahasiswa wajib ikut MBKM jd ya mungkin km korban data palsu
Negatif;collegemenfess sama aku smt 56 mbkm pdhl gk pernah iku anjir
Negatif;collegemenfess Sama nder fakultas aku jg gitu huhu sedih bgt pdhl dulu fakultas lain ada kating sedivisi ku di MBKM Batch 3 bisa sambil skripsian
Negatif;collegemenfess Sama nder gue smt 3 malah MBKM Padahal gak ikutan 
Negatif;collegemenfess sama nderr padahal gapernah ikut kampus merdeka samsekk
Positif;collegemenfess Santuy tapi kepikiran konversi mbkm sama skripsi
Negatif;collegemenfess Sayaukt bayar mbkm bayar semuanya berbayar taiii
Positif;collegemenfess sbnernya udh bbrp kali naik pesawat tp feelnya beda pas naik pesawat grgr PMM gituu gatau kek beda aja feelnya pas tau jg dpt citilink dr kampus merdeka  tp pas pulang naik garuda wkwkkw 
Negatif;collegemenfess Segera lapor ke admin kampus nder Jurusanku kmrn jg gt dan langsung diminta admin buat list nama yg tbtb terdaftar mbkm pdhl ngga
Positif;collegemenfess Sekarang gegara ada mbkm katanya boleh milik antara magang kls atau kkn iya kah
Positif;"collegemenfess Semester 4 nder ikut program MBKM MSIB"
Positif;"collegemenfess Setahuku MBKM MSIB Magang nanti ada transportasi keberangkatan "
Negatif;collegemenfess Setauku aku yaa tapi gatau bener atau engga  Semisal kita daftar program mbkm dan lolos tapi ngga jadi diambil nantinya tu kaya nama kita di pusat udah ada tandanya gitu Jadi semisal kedepannya klo kita daftar program mbkm lagi jadi bahan pertimbangan mereka
Positif;collegemenfess Setauku maksimal 2x ikut mbkm kalau sebelumnya udah ikut terus ikut lagi masih bisa kok
Positif;collegemenfess smt 6 udh gawaktunya organisasi Ambil program MBKM aja nder
Negatif;collegemenfess Statusnya MBKM tapi SKS nya 24 sedangkan di MBKM hanya diberi konversi 20 SKS gimana tu wkwk
Positif;collegemenfess tanya ke perusahaannya nderr kalo ga ya ikut msib di kampus merdeka
Negatif;collegemenfess td pagi sempet cek dan 3 smt isinya kampus merdeka padahal gakksamsekk ikut program kampus merdeka apa data w di palsuin kah
Positif;collegemenfess tergantung kampus nderr aku gaikut tapi tertulis ada mbkm karna kampus masukin KKN ke program mbkm juga kalo di kampusku emg ngejar biar banyak mahasiswanya yg ikut mbkm setauku buat kampus wajib sedangkan kalo gak digituin yh ikut mbkm keitung sedikit
Positif;collegemenfess tergantung kampusku wajib ikut mbkm minimal 1 kali
Negatif;collegemenfess ternyata ada juga yg ngisi palsu aku malah kosong nder pdhal di smt 7 ikutan mbkm wkwk
Positif;collegemenfess Univ ku bisa ga KKN kalo dikonversi ke mbkm
Positif;collegemenfess Waktu angkatan kating 1619 masih diwajibin nder soalnya kek sekalian nyusun pondasi buat sempro Tapi pas angkatan gw bisa kena konversi MBKM Merdeka belajar  semester ini lagi nyusun Bab 13
Positif;collegemenfess walopun  sepanjang kuliah selalu haduhhaduh ngeluh gak karuan karena linjur juga bisa aktif ikut kegiatan MBKM di sem 3 dan 6 ini  trs bsa aktif juga di hmj  dan surprisingly bsa tetap waras dan ketawa ketiwi dahal tugas numpuk kek apaan dah
Positif;collegemenfess wkwk aku ikut mbkm pas smt 5 doang tp smt 6nya masih ada matkul yg direkognisi kecantumnya di dikti juga kampus merdeka nder 
Positif;collegemenfess ya kan magang tuh termasuk matkul kecuali klo ikut kampus merdeka baru bisa konversi matkul lain tp tergantung prodi juga sih
Negatif;collegemenfess yg ikut kampus merdeka kan dapet fee dari kemendikbud nah kalo banyak yg ngerasa gaikut tp namanya terdaftar peserta jadi fee nya kemana dong 
Negatif;cometomaspace umfess Aneh sih kalo emang gak dibolehin padahal univ terus2an ngedorong implementasi MBKM
Positif;compliceited berarti barengan ya teh pas mbkm ngontrak kkn
Positif;contohnya ini disaat kita bingung gimana mbkm ketua angkatan ku berinsiatif membuat ini Padahal mungkin untuk urusan begini harusnya kita bersaing tp di angkatan aing ketuanya tidak membiarkan satupun orangpun tertinggal dibelakang 
Positif;convomf doakan akuu semoga lolos seleksi mbkm ygy kl iya uangnya mau nabung beli laptop soalnyy sem 5 ntr blm punya laptop gw
Negatif;convomf Mau nanya nder ak tdi nyoba daftar tpi nama kampus ak gk ada gimna yh nder pdhl kampus ak dh termasuk kampus merdeka di liat dri persyaratan daftarnya tdi tuh salah satunya kampus udh terdaftar di PDDKIT gimna yh solusinya
Negatif;corndogmosis collegemenfess La ikut mbkm kan dapat dana bantuan dari pemerintah Itu uangnya gimana
Negatif;"daftar kampus merdeka pengen keterima daftar kampus merdeka takut keterima"
Negatif;Daftarr mbkm susahh gaa Pengenn bangett buat magang di mbkm
Negatif;dah gt proposal sama persiapan mmd yg lain jg belum samsek masyaallah salah satu dari mbkm atau mmd plis yg iya iya ajalah klo ngasi timeline ini keduanya gaje bgt helpp orgil klean
Negatif;Dahlah ini mah aku fix gk lolos seleksi berkas di program magang Kemendikbud dibuat galau lagi oleh MBKM 
Negatif;"dan menuntut untuk segera menyelesaikan segala problematika yang telah dirasakan oleh mahasiswa selama melaksanakan proses MBKM di UM Seperti yang telah dicantumkan di postingan di atas pelaksanaan alur pergerakan untuk ke tahap audiensi membutuhkan waktu "
Negatif;Danielregar10 penguplodan sptjm sama surat rekomendasi magang kampus merdeka susah di upload gak siweb nya gabisa discrollsama ga ya nder
Negatif;"day 50 hahahaa kuranh brp hari lg aku akan keluar tp aku blm menyelesaikan output mbkm ini anjai huuaaa sibuk bgt senin kali ini"
Positif;ddaisyyme readandstudwths collegemenfess ada tulisannya msib di web kampus merdeka nya
Positif;deeliciouse caratstalk Aisee eh kp tu apah Aku skrg lagi mbkm
Positif;"DeimosLordSeven collegemenfess Lahmalahan dibawah Nadiem banyak programprogram bagus banget buat mahasiswa kek program kampus merdeka Kalo lu ga ngerasain berarti emang lu nya yg mungkin ga ikut ato kampus lu jelek"
Positif;DeimosLordSeven collegemenfess Masa sih Padahal kampus merdeka keren bgt menurut gue
Positif;DeimosLordSeven collegemenfess Padahal Kampus Merdeka yang salah satu program ciptaannya menurut gue ngebantu banget untuk improvisasi dan implementasi skill yg udh dapet secara teori di kampus especiallynya Magang Merdeka
Positif;DeimosLordSeven collegemenfess Program mbkm bagus lho
Positif;DeimosLordSeven collegemenfess Tbh w bersyukur banget sih Jd mahasiswa di zamannya pak Nadiem why Kampus merdeka tu programnya keren bgt asli dan itu beneran berdampak dan ngebantu banget untuk masyarakat banyak dan untuk berita diatas lo baca lagi baik² gosah salty no1 wkwk malulah kurang literasi 
Negatif;demtox Krn KKN itu wajib di kampus gue Ada kompetensi pengabdian Mau ikut kampus merdeka pun ttp harus KKN tidak ada pembebasan
Positif;deng denggggg tbtb ada mbkm lanjutannnnnn
Positif;"Dengan pembelajaran langsung di tempat kerja mitra magang mahasiswa akan mengasah soft skills dan hard skills yang akan menyiapkan mereka untuk memasuki dunia karier Program Magang MBKM menyediakan dua jenis program yaitu Program Magang Flagship dan Program Magang Mandiri "
Positif;dhikamplengi worksfess huhuu gitu yaa kak mungkin sama kali ya stepnya sama untuk MBKM ini btw thank you ya kak informasinya semoga lolos nanti kalau mau lamar lagii semangat kaa
Negatif;di jurusan yang sama anak Undip punya beban tugas magang yang durasinya 714 hari cuma buat menuhin SKS matkul sedangkan di yube magang ya kaloga kampus merdeka yaa PKL doang itupun kadang ga terlalu niat hehehehehh 
Negatif;di saat orang lain pengen banyak yang nyelamatin udah sempro gitu aku malah pengennya gada soalnya besoknya banget masih harus ujian mbkm PLUS JANGAN GANGGU AKU WOI AKU MAU BURUAN NONTON R32 INDONESIA OPEN
Negatif;di ut itu ada magang diluar ngajuin magang sendiri kaya kampus merdeka
Positif;di UT pengen ikut kegiatan kampus merdeka juga 
Positif;dia luar bali jd kampus dia ada kampus merdeka gt smntara kampus gue engga emng setan wkwk  smpt main bareng ke pantai jg ajak jalan2 dia baik orangnya ramah ga aneh2 juga ya tp ga lama sih ak sm dia temenan soalnya pas dia masuk aku udh bulan terakhir pkl
Negatif;Dih barusan ngecek Aku ikut kampus merdeka di smt 4 ga dicantum di dikti 
Negatif;diinskyzz collegemenfess aku waktu itu ikut magang sejenis kayak mbkm tp bukan mbkm
Positif;dikampusku ada mbkm program kemanusiaan ini dari kampus sendiri PKKM MBKM namanya br dgr sii emang aku daftar ini buat kuliah sem 5 nanti doain yaa besok lolos
Negatif;dikira karena mau ngebahas resign taunya dikasih tugas bimbingan mbkm  pak saya agustus mau out pak 
Negatif;Dikit lg udh sem5 bisa ikut mbkm gatau mau seneng apa takut Selama semester ini ngang ngong doang ya allah gatau salah dmna siii anxious bgt stiap mikirinnya pgn bljr coding tp bingung mulai dari mana Someone help me
Positif;dionpouw Iya weh agak nyesel kenapa ga join pas kuota kampus merdeka masih bisa 
Positif;dionysuc collegemenfess sbenernya ga ngaruh apa apa sih MBKM tu ngasah skill di luar kelas aja secara akademik kegiatannya dikonversi matkul prodi Rugi nya ya km ditulis MBKM tp ga dapet skill MBKM sejauh ini ga ads dampaknya sih
Positif;dionysuc corndogmosis collegemenfess Malah menurutku bakal jd lebih banyak profitnya si karna bisa jadi recruiter di masa depan cek dikti dia dan ngeliat pernah mbkm jd mikir kalo dia punya pengalaman kerja ya walau boong si hehehehehe
Negatif;dionysuc corndogmosis collegemenfess not sender jg klo di kasusku lbh ke merugikan sih kmrn aku mau ikut project dosen dan pas mau daftarin diri sbg anggota tim kehambat krn dataku di dikti statusnya kampus merdeka tp mungkin bagi yg lain bisa ngerasa itu positif idk ya
Negatif;"dionysuc corndogmosis collegemenfess Tergantung siii Kalo mau ikut mbkm bisa jadi malah terkendala Why Maksimal ikut mbkm itu cuman 2x jadi kalo udah terigester 3x ga bisa ikut mbkm yg riilnya"
Negatif;dips Adakah di sini yg ikut mbkm magang di bpom Sesibuk apa yah ges Soalnya kakakku ditelpon ga diangkat2 dari beberapa minggu yang lalu 
Positif;dips gaiiss yg smt 7 aku mau nanyakk smt 7 masi bisa ikut mbkm ga yaa pgn coba magangg tapi tkut telatt huhu
Positif;disni ada kaka kaka fh yg perna ikut mbkm ga yaa aku bole tanya2 makasiiii braw
Positif;ditjendikti hi admin permisi izin bertanya apakah dengan 2x MBKM kita bisa memilih di program yg mana kita bisa konversi SKS Contohnya di smt 5 ini saya pgn ikut stupen lalu di smt 6 IISMA Skema belajar program Stupen saya bisa online jadi masih bisa ikut perkuliahan min
Positif;dkarmast illsshine IISMAfess Ehh hrsnya bisa kok Jd sblm iisma itu paling MAX ikut 1 kegiatan MBKM
Negatif;doa mahasiswa2 yg tersakiti karena mbkm semoga dijabah
Positif;dobbyips5 emang lagi magang kampus merdeka sih kak kayaknya
Positif;Dosbing nyuruh kelarin S1 35 tahun meanwhile gua ga mbkm yauda tapi ttp optimis
Positif;doyoungforlife MENDING YANG BISA DITUKER SIH biar ga kerja dua kali napa g join mbkm ajh siee
Negatif;"dpt bocorancontekan tp IP dia BAGUUSSS wkskxkskdj blm lg kalo ada urusan kek msib kampus merdeka dll dia gamau cari tau sendiri dan selalu nanyain hal yg udah ada di web kek gamau effort tau kok gue ga boleh gini hrsnyaaa  tauu tp ga boong jg gue kesel bgt gmn cont"
Positif;DraftUINJKT Daftar dulu dimana gitu ada tim mbkm nya
Positif;dreamies ikut kampus merdeka ternyata 
Positif;dulcetjeans mbkm 20sks di ador
Positif;dumbbassz itu program kampus merdeka kalo keterima mayan 20sks ga masuk kalo engga bebas pkl mehehe
Negatif;"Dunia orang dewasa sangat sulit dimengerti konteks liat berbagai macam posisi magang di kampus merdeka"
Negatif;dyaluvr saran dariku bgt sih jangan sampe microteaching sama metopen kamu relain buat dipindah ke semester 8 gitu buat ngulang matkultransfer kredit takut capek aja udh mikir skripsi tapi masih kuliah matkul gitu Mending selesein dulu semuanya baru bebas ikut mbkm All up to you yaa
Negatif;Dyastyop Saya tidak masup karena ngurus MBKM
Negatif;dynsstr Ini pasti mbkm 
Positif;"ego ku untuk ga daftar program MBKM lain terbayarkan alihalih takut ke blacklist PMM Sumpahh yaa sampe sekarang masih kagetgemetar bisa jadi part of UGM "
Positif;Eh takut juga ye dijadika data palsu tapi gue aktif ikut mbkm sih 
Positif;elisabethmurni Program Kampus Merdeka Mbak sudah jalan beberapa cycle Pertukaran pelajar antar pulau seIndonesia utk 1 semester Menarik konsepnya
Negatif;email bbh kampus merdeka juga masuk spam janganjangan 
Positif;Enak kali ya bulan Juni lolos MBKM
Negatif;fak tugas akhir magang mbkm kenapa banyak bgt
Positif;fatmountalpaca iamdjamesss PNSAbabil prastow awemany kpertiwi29 direktoridosen Bukan ngejar kebutuhan tp ya harus dkejar sayangggg Ambigu sih klo gtu hdup nunggu gaji pokok dosen ketika punya income kurang justru  bisa solutif buat bagaimana punya tupoksi lebih besar Entah penelitian ikut program kampus merdeka jd asisten prof dsbg
Negatif;fix ya semester 7 gak usah daftar mbkm lagi fokus nyelesein skripsi dulu jangan disambi magang pokoknya harus cepat selesai skripsinyaa
Positif;fnampov bismillah mbkm keterima di rans wml
Positif;Fragileanta umfess Aku langsung ke kaprodi wkwkwkarena beliau dosen yg suka woroworo ttg mbkm
Negatif;freshiemessy wkwkwk kampus merdeka paling oke sii tapi buat sdsma emang terlalu maksain doi
Positif;"FUSHIGUR00 wish aku tahun ini lancar UAS nya dan mendapatkan IPK yang memuaskan bisa pulang ke rumah dan bisa lolos program kampus merdeka"
Positif;fvckkklyfe worksfess Dulu ikut MBKM yaa full konversj
Positif;Ga dape tiket coldplay ga dapet tiket niki semoga dapet mbkm
Positif;ga takut gueh sm perubahan krna smt 6 ini ws all in gae mbkm percobaan
Negatif;Gabisa sempro karena diri ini MBKM anj
Negatif;gada yang ikut kampus merdeka magang apaa 
Positif;gaes ada yang ikut program magang kampus merdeka batch 5 ga atau ada yang udah pernah ikut pengen sharing makasiii
Negatif;"gajelas anjing tbtb sakit anak magang berasa robot emg kalo kata gua mah gausa ikut magang kampus merdeka ga dapet merdeka merdeka nya dapet hikmah sm pelajaran hidup iya"
Positif;gajian mbkm gue beli album
Negatif;gajinya dirapel 4 bulan sekali ya kayak anak magang kampus merdeka batch 4 UPS 
Positif;Gak masalah dong kan kampus merdeka 
Positif;gapapaaa deh pusingpusing semester ini asal semester depan keterima magang kampus merdeka
Positif;gapernah tau kl move on bisa segampang dan secepet ini wkwkwkwk ada untungnya jg kuliah smt 6 di kampus tanpa mbkm dsb
Negatif;gd mbkm yg ke rans entertainment apaaa
Negatif;gegara mbkm gapernah kelas lg jd gatau minggu ini udah tm berapa 
Positif;"Geh Kampus merdeka itu apa ya ada yg pengalaman pernah ikut kampus merdeka"
Negatif;geloraco Kampus merdeka itu selogan saja tapi realita nya kampus nya terantai
Negatif;GerryS Harus ikut sedih atau ketawa ya Sedih karena kasihan sudah terlanjur kuliah di UI jika memang benar wawasan dan daya nalarnya koq spt ini Ketawa karena kenapa nulis spt kan mempermalukan diri sendiri
Positif;"gofrendiasgard Saya lulusan SI dri kampus Malang yang dulu pak Go pernah ngajar Lulusnya jadi fullstack yg belajar nya dri otodidak komunitas online  bootcamp kampus merdeka  berasa jelajah hutan banget"
Positif;gojuosatorou oiyaaa itu bagian program kampus merdeka nya nadiem naj kayaknya mmg baru terjadi 3 kali makanya namanya pmm3 wkwk
Positif;goodluck yang war hari jumat lawan war kalian anak mbkm abis gajian
